ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,24172.9397675614,5.314956507716947
4,conventional_steam_coal,2,8518.059096730069,13567.68,-5049.620903269932,9.102143655076315,42054.87511326876,9.246696277481368
5,natural_gas_fired_combined_cycle,2,31619.185265649707,36734.21,-5115.024734350292,33.78731742479906,36371.00926482215,7.9969724097732815
6,natural_gas_fired_combustion_turbine,2,4704.48,4704.48,0.0,5.027066881805456,176.34930942878913,0.03877430377904291
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,39078.16548915789,8.592200699352196
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,16031.679564367329,3.524920032465824
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,572.9830141499999,0.1259830136156847
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,12032.713603855684,2.6456587444167003
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,12.079600000000003,0.0026559677576648553
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,21448.874531327532,4.716010397149309
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,161.43593124999998,0.03549526708902614
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,2924.6483506677105,0.0,2924.6483506677105,3.1251919159117687,5603.299334733097,1.2320095342226591
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,211.04159393146892,0.0,211.04159393146892,0.22551274690004477,297.88362156700606,0.06549631564111454
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,14401.95280555788,0.0,14401.95280555788,15.389496816257097,98340.63747284331,21.622368488698303
30,naturalgas_ccavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9747764016968896,5560.583140022899,1.2226174321761991
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,6989.817167485401,1.5368662065642493
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,107138.01844630674,23.556667655675113
39,utilitypv_losangeles,2,2132.06131143251,0.0,2132.06131143251,2.27825706745083,3655.7908249333223,0.8038066293411954
40,battery,2,0.0,0.0,0.0,0.0,0.0,0.0
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,4562.175071629887,0.0,4562.175071629887,4.875004083679607,14850.731002788674,3.2652623200404465
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,7471.2541917160015,0.0,7471.2541917160015,7.98355918459122,20607.236686532844,4.530957665320008
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,77.41291779057246,0.0,77.41291779057246,0.08272113288799511,108.13758042201309,0.023776443507463572
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
