ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
1,onshore_wind_turbine,1,8495.9,8495.9,0.0,9.078465105841872,20074.54656490161,4.402877116297621
4,conventional_steam_coal,2,0.0,13567.68,-13567.68,0.0,0.0,0.0
5,natural_gas_fired_combined_cycle,2,11909.968779652787,36734.21,-24824.241220347212,12.726637081150194,15612.481173632596,3.424228580495027
6,natural_gas_fired_combustion_turbine,2,1811.0537975969291,4704.48,-2893.4262024030704,1.9352380214322358,2.4728165924941843,0.0005423538485760593
7,natural_gas_steam_turbine,2,0.0,1118.5,-1118.5,0.0,0.0,0.0
8,nuclear,2,5020.0,5020.0,0.0,5.36422213436201,41217.810053542795,9.040152019470284
9,onshore_wind_turbine,2,6979.0,6979.0,0.0,7.457551050938739,17864.039521300005,3.9180546648304118
11,solar_photovoltaic,2,454.5,454.5,0.0,0.48566513148755647,648.9546889499999,0.1423328661623495
12,conventional_steam_coal,3,0.0,650.0,-650.0,0.0,0.0,0.0
13,natural_gas_fired_combined_cycle,3,3427.34,3427.34,0.0,3.662353205176154,8999.173113027453,1.97375583238453
14,natural_gas_fired_combustion_turbine,3,1207.96,1207.96,0.0,1.29078999390915,1.2079600000000001,0.00026493746318045116
15,onshore_wind_turbine,3,9450.5,9450.5,0.0,10.098522167487685,23532.275760748205,5.161248255666951
16,solar_photovoltaic,3,137.5,137.5,0.0,0.1469283951144973,176.75809249999998,0.03876770805619848
17,naturalgas_ccccsavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
18,naturalgas_ccavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
19,naturalgas_ctavgcf,1,0.0,0.0,0.0,0.0,0.0,0.0
20,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
21,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
22,landbasedwind_ltrg1,1,0.0,0.0,0.0,0.0,0.0,0.0
23,utilitypv_losangeles,1,11158.435163710777,0.0,11158.435163710777,11.923570695223255,30921.32769559835,6.781862079740432
24,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
25,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
26,utilitypv_losangeles,1,0.0,0.0,0.0,0.0,0.0,0.0
27,battery,1,5244.34222,0.0,5244.34222,5.603947533205818,11944.30574450522,2.619701035962203
28,naturalgas_ccs100,1,0.0,0.0,0.0,0.0,0.0,0.0
29,naturalgas_ccccsavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
30,naturalgas_ccavgcf,2,13926.246606572295,0.0,13926.246606572295,14.881171373617319,86802.9963410389,19.038184747058537
31,naturalgas_ctavgcf,2,0.0,0.0,0.0,0.0,0.0,0.0
32,landbasedwind_ltrg1,2,1848.055,0.0,1848.055,1.9747764016968896,6085.8541300205015,1.334788200349269
33,landbasedwind_ltrg1,2,2552.931,0.0,2552.931,2.727985852131263,8080.101415878301,1.7721791875257198
34,landbasedwind_ltrg1,2,0.0,0.0,0.0,0.0,0.0,0.0
35,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
36,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
37,offshorewind_otrg3,2,0.0,0.0,0.0,0.0,0.0,0.0
38,utilitypv_losangeles,2,41431.5,0.0,41431.5,44.272464015900326,110743.1015526,24.288880749429556
39,utilitypv_losangeles,2,32915.25,0.0,32915.25,35.17225350758151,81492.76071389364,17.873510125426762
40,battery,2,26704.570259299995,0.0,26704.570259299995,28.535706548518426,57052.44299219084,12.513104336731637
41,naturalgas_ccs100,2,0.0,0.0,0.0,0.0,0.0,0.0
42,naturalgas_ccccsavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
43,naturalgas_ccavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
44,naturalgas_ctavgcf,3,0.0,0.0,0.0,0.0,0.0,0.0
45,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
46,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
47,landbasedwind_ltrg1,3,2596.123381930639,0.0,2596.123381930639,2.774139942009381,8574.743255925754,1.8806671790859393
48,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
49,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
50,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
51,landbasedwind_ltrg1,3,0.0,0.0,0.0,0.0,0.0,0.0
52,utilitypv_losangeles,3,3090.5533101253473,0.0,3090.5533101253473,3.3024730027091964,7736.689343436645,1.6968598695861907
53,utilitypv_losangeles,3,0.0,0.0,0.0,0.0,0.0,0.0
54,battery,3,329.55356481547415,0.0,329.55356481547415,0.3521511009643569,610.5400295294462,0.13390751895232392
55,naturalgas_ccs100,3,0.0,0.0,0.0,0.0,0.0,0.0
