Scenario,Segment,Zone,NSE_Price,NSE_MWh,NSE_Pct
geo_opt_nuc_pess,1,1,81000000,0.0,0.0
geo_opt_nuc_pess,2,1,5400000,0.0,0.0
geo_opt_nuc_pess,1,2,81000000,0.0,0.0
geo_opt_nuc_pess,2,2,5400000,0.0,0.0
geo_opt_nuc_pess,1,3,81000000,0.0,0.0
geo_opt_nuc_pess,2,3,5400000,0.0,0.0
geo_opt_nuc_pess,1,4,81000000,0.0,0.0
geo_opt_nuc_pess,2,4,5400000,0.0,0.0
geo_opt_nuc_pess,1,5,81000000,0.0,0.0
geo_opt_nuc_pess,2,5,5400000,0.0,0.0
geo_opt_nuc_pess,1,6,81000000,0.0,0.0
geo_opt_nuc_pess,2,6,5400000,0.0,0.0
moderate_all,1,1,81000000,0.0,0.0
moderate_all,2,1,5400000,0.0,0.0
moderate_all,1,2,81000000,0.0,0.0
moderate_all,2,2,5400000,0.0,0.0
moderate_all,1,3,81000000,0.0,0.0
moderate_all,2,3,5400000,0.0,0.0
moderate_all,1,4,81000000,0.0,0.0
moderate_all,2,4,5400000,0.0,0.0
moderate_all,1,5,81000000,0.0,0.0
moderate_all,2,5,5400000,0.0,0.0
moderate_all,1,6,81000000,0.0,0.0
moderate_all,2,6,5400000,0.0,0.0
nuc_optimistic,1,1,81000000,0.0,0.0
nuc_optimistic,2,1,5400000,0.0,0.0
nuc_optimistic,1,2,81000000,0.0,0.0
nuc_optimistic,2,2,5400000,0.0,0.0
nuc_optimistic,1,3,81000000,0.0,0.0
nuc_optimistic,2,3,5400000,0.0,0.0
nuc_optimistic,1,4,81000000,0.0,0.0
nuc_optimistic,2,4,5400000,0.0,0.0
nuc_optimistic,1,5,81000000,0.0,0.0
nuc_optimistic,2,5,5400000,0.0,0.0
nuc_optimistic,1,6,81000000,0.0,0.0
nuc_optimistic,2,6,5400000,0.0,0.0
optimistic_all,1,1,81000000,0.0,0.0
optimistic_all,2,1,5400000,0.0,0.0
optimistic_all,1,2,81000000,0.0,0.0
optimistic_all,2,2,5400000,0.0,0.0
optimistic_all,1,3,81000000,0.0,0.0
optimistic_all,2,3,5400000,0.0,0.0
optimistic_all,1,4,81000000,0.0,0.0
optimistic_all,2,4,5400000,0.0,0.0
optimistic_all,1,5,81000000,0.0,0.0
optimistic_all,2,5,5400000,0.0,0.0
optimistic_all,1,6,81000000,0.0,0.0
optimistic_all,2,6,5400000,0.0,0.0
geo_moderate,1,1,81000000,0.0,0.0
geo_moderate,2,1,5400000,0.0,0.0
geo_moderate,1,2,81000000,0.0,0.0
geo_moderate,2,2,5400000,0.0,0.0
geo_moderate,1,3,81000000,0.0,0.0
geo_moderate,2,3,5400000,0.0,0.0
geo_moderate,1,4,81000000,0.0,0.0
geo_moderate,2,4,5400000,0.0,0.0
geo_moderate,1,5,81000000,0.0,0.0
geo_moderate,2,5,5400000,0.0,0.0
geo_moderate,1,6,81000000,0.0,0.0
geo_moderate,2,6,5400000,0.0,0.0
geo_optimistic,1,1,81000000,0.0,0.0
geo_optimistic,2,1,5400000,0.0,0.0
geo_optimistic,1,2,81000000,0.0,0.0
geo_optimistic,2,2,5400000,0.0,0.0
geo_optimistic,1,3,81000000,0.0,0.0
geo_optimistic,2,3,5400000,0.0,0.0
geo_optimistic,1,4,81000000,0.0,0.0
